Company,Company_ID,Year,Total equity,Total assets,Receivables,BookLev(Debt_ratio),Mkt(Debt_ratio),Profitability ratio,Size (ln_total assets),Tangible_ratio (Fixed Asset ratio),Effective tax rate,Liquidity ratio,Asset_turn over,Change in Receivables,Current Asset,PPE,Total liabilities,Current Liabilities,Cashflow from operations,operating expenses,Revenue,Change in Revenue,Gross Profit,Operating Profit,Profit before tax,Net income,Auditor,Audit fee,Audit days,TAC,Rule of law,Financial sector rating,Institutional quality,Macroeconomic Mgt.,Accountability and corruption,Profit Tax
ARM,1,2008,2127543000.0,6198192000,795666000,1.0248920975665161,0.7491111165880368,0.11378705274054111,22.54752347356692,0.5724233776559358,0.28633638103338294,1.378475374289168,1.3417530527832937,795666000.0,2344544000,3547990000,6352478000.0,1700824000,597122000.0,986509000,4619473000,4619473000.0,1674670000,705274000,705450000,503454000,Deloitte & Touche,16630.0,90.0,-93668000,3.5,4.0,3.5,3.5,4.0,17.6
ARM,1,2009,4191030000.0,10332044000,1140778000,1.0,0.7114226643753244,0.09087446782069453,23.058515970784953,0.6616317158540943,0.3193164641820401,1.0286114141670455,2.0082412958115947,345112000.0,3194254000,6836008000,10332044000.0,3105404000,858094000.0,934868000,5144822000,525349000.0,1854831000,938919000,948714000,645774000,Deloitte & Touche,21750.0,71.0,-212320000,3.5,4.0,3.5,3.5,4.0,17.6
ARM,1,2010,4926859000.0,14091554000,1287433000,1.0,0.7409426853859994,0.09504118566341228,23.368841447761913,0.613472509845259,0.03386818238178842,1.7490066567613873,2.3625035416879725,146655000.0,5073536000,8644781000,14091554000.0,2900810000,803586000.0,882799000,5964670000,819848000.0,2098688000,1339278000,1112962000,1075268000,Deloitte & Touche,33460.0,111.0,271682000,3.5,4.0,3.5,3.5,4.0,17.6
ARM,1,2011,6102526000.0,15714579000,1067752000,1.0,0.7202870866689233,0.10411580227507208,23.477854717145714,0.5929609695557228,0.1558530558099129,1.6733207576824936,1.9208647313186469,-219681000.0,5940702000,9318132000,15714579000.0,3550247000,2038584000.0,962496000,8180992000,2216322000.0,2630539000,1636136000,1362912000,1150498000,Deloitte & Touche,43960.0,137.0,-888086000,3.5,4.0,3.5,4.0,4.0,18.0
ARM,1,2012,7105928000.0,21413958000,1146518000,1.0,0.7508430433417581,0.10463992691122305,23.78730878934686,0.44211952783320113,0.30422790421248774,2.5488355816011596,1.8783236170054318,78766000.0,11485777000,9467529000,21413958000.0,4506284000,1293458000.0,1088547000,11400569000,3219577000.0,3229173000,2240755000,1790296000,1245638000,Deloitte & Touche,36350.0,126.0,-47820000,3.5,3.5,3.5,3.5,4.0,18.0
ARM,1,2013,8140534000.0,23514676000,1583961000,1.0,0.7428374665655353,0.09991343278555061,23.880890573809204,0.40613389697565894,0.32561873143805686,2.659649231268419,1.6583913572605748,437443000.0,13508401000,9550107000,23514676000.0,5079016000,2916815000.0,1322596000,14179208000,2778639000.0,3446915000,2349432000,2000060000,1348803000,Deloitte & Touche,42850.0,90.0,-1568012000,4.0,3.5,3.5,3.0,4.0,18.0
ARM,1,2014,9211308000.0,29641033000,1840246000,1.0,0.7629149811075734,0.06223764198771345,24.11242548831895,0.3286418864011926,0.2600125958001777,1.553837729283499,2.156780469738274,256285000.0,19366342000,9741285000,29641033000.0,12463555000,923621000.0,1721433000,13743185000,-436023000.0,3724789000,1844788000,2018133000,1493393000,Deloitte & Touche,42850.0,150.0,569772000,3.5,3.0,3.5,2.0,3.5,18.0
ARM,1,2015,12053399000.0,38679348000,2469595000,1.0,0.7624138310507806,-0.03128966910197142,24.378571651132972,0.36739181849704394,1.8168164952321966,1.3951348804980448,2.624831432492649,629349000.0,23935453000,14210476000,38679348000.0,17156372000,-190035000.0,2031193000,14735936000,992751000.0,4345141000,-1210264000,3539156000,-2890841000,Deloitte & Touche,46430.0,119.0,-2700806000,4.0,3.0,3.5,3.0,3.5,18.0
ARM,1,2016,25300202000.0,40850495000,3163292000,1.0,0.6175368794678007,0.008371159272366223,24.433184775682065,0.3386084060915296,0.27921494302961947,3.412536941268151,4.239416841810749,693697000.0,26484590000,13832321000,40850495000.0,7760968000,-1279015000.0,1629489000,9635876000,-5100060000.0,2403096000,341966000,-1248368000,-899805000,Deloitte & Touche,56980.0,118.0,379210000,4.0,3.0,3.5,3.0,3.0,18.0
ARM,1,2017,20852380000.0,36835714000,2104512000,1.0,0.6385323460331347,-0.07210323111966827,24.329733700631618,0.32168386908422625,0.17549830949873574,1.8882906544266973,5.319010860766344,-1058780000.0,24983917000,11849455000,36835714000.0,13230970000,-522891000.0,1638266000,6925294000,-2710582000.0,242658000,-2655974000,-5123924000,-4224684000,Deloitte & Touche,59780.0,150.0,-3701793000,4.0,3.0,3.5,3.5,3.5,18.5
